"date","transaction_history_id","client_id","status","pricepoint_id","mno_delivery_code","total_charged","created_at"
"2025-10-04","3024849","216690","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:15:34"
"2025-10-04","3024851","215364","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:15:49"
"2025-10-04","3024851","215364","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:15:49"
"2025-10-04","3024851","215364","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:15:49"
"2025-10-04","3024853","216715","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:15:55"
"2025-10-04","3024853","216715","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:15:55"
"2025-10-04","3024855","216772","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:16:50"
"2025-10-04","3024855","216772","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:16:50"
"2025-10-04","3024857","229669","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:16:52"
"2025-10-04","3024857","229669","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:16:52"
"2025-10-04","3024857","229669","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:16:52"
"2025-10-04","3024857","229669","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:16:52"
"2025-10-04","3024861","235714","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:17:50"
"2025-10-04","3024861","235714","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:17:50"
"2025-10-04","3024865","220617","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:19:26"
"2025-10-04","3024865","220617","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:19:26"
"2025-10-04","3024865","220617","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:19:26"
"2025-10-04","3024867","231873","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:19:48"
"2025-10-04","3024867","231873","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:19:48"
"2025-10-04","3024869","223988","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:20:20"
"2025-10-04","3024869","223988","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:20:20"
"2025-10-04","3024869","223988","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:20:20"
"2025-10-04","3024869","223988","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:20:20"
"2025-10-04","3024869","223988","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:20:20"
"2025-10-04","3024871","224154","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:20:33"
"2025-10-04","3024871","224154","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:20:33"
"2025-10-04","3024871","224154","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:20:33"
"2025-10-04","3024871","224154","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:20:33"
"2025-10-04","3024871","224154","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:20:33"
"2025-10-04","3024873","239729","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:21:28"
"2025-10-04","3024873","239729","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:21:28"
"2025-10-04","3024873","239729","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:21:28"
"2025-10-04","3024873","239729","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:21:28"
"2025-10-04","3024875","228575","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:21:29"
"2025-10-04","3024875","228575","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:21:29"
"2025-10-04","3024875","228575","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:21:29"
"2025-10-04","3024875","228575","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:21:29"
"2025-10-04","3024875","228575","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:21:29"
"2025-10-04","3024875","228575","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:21:29"
"2025-10-04","3024877","228594","TIMWE_RENEWED_NOTIF","63980","DELIVERED","3000","2025-10-04 05:21:43"
